Symbol;Security;Sector;Industry
III;3i;Private equity;
ADN;Aberdeen Asset Management;Fund management;
ADM;Admiral Group;Insurance;
AAL;Anglo American plc;Mining;
ANTO;Antofagasta;Mining;
ARM;ARM Holdings;Engineering;
AHT;Ashtead Group;Equipment rental;
ABF;Associated British Foods;Food;
AZN;AstraZeneca;Pharmaceuticals;
AV.;Aviva;Insurance;
BAB;Babcock International;Engineering;
BA.;BAE Systems;Military;
BARC;Barclays;Banking;
BDEV;Barratt Developments;Building;
BKG;Berkeley Group Holdings;Building;
BLT;BHP Billiton;Mining;
BP.;BP;Oil and gas;
BATS;British American Tobacco;Tobacco;
BLND;British Land;Property;
BT.A;BT Group;Telecomms;
BNZL;Bunzl;Industrial products;
BRBY;Burberry;Fashion;
CPI;Capita;Support Services;
CCL;Carnival Corporation & plc;Leisure;
CNA;Centrica;Energy;
CCH;Coca-Cola HBC AG;Consumer;
CPG;Compass Group;Food;
CRH;CRH plc;Building materials;
DCC;DCC plc;Investments;
DGE;Diageo;Beverages;
DLG;Direct Line Group;Insurance;
DC.;Dixons Carphone;Retail;
EZJ;EasyJet;Travel;
EXPN;Experian;Information;
FRES;Fresnillo plc;Mining;
GKN;GKN;Manufacturing;
GSK;GlaxoSmithKline;Pharmaceuticals;
GLEN;Glencore;Mining;
HMSO;Hammerson;Property;
HL.;Hargreaves Lansdown;Finance;
HIK;Hikma Pharmaceuticals;Manufacturing;
HSBA;HSBC;Banking;
IMB;Imperial Brands;Tobacco;
ISAT;Inmarsat;Telecomms;
IHG;InterContinental Hotels Group;Hotels;
IAG;International Consolidated Airlines Group SA;Travel;
ITRK;Intertek;Product testing;
INTU;Intu Properties;Property;
ITV;ITV plc;Media;
JMAT;Johnson Matthey;Chemicals;
KGF;Kingfisher plc;Retail homeware;
LAND;Land Securities;Property;
LGEN;Legal & General;Insurance;
LLOY;Lloyds Banking Group;Banking;
LSE;London Stock Exchange Group;Finance;
MKS;Marks & Spencer;Retailer;
MERL;Merlin Entertainments;Leisure;
MNDI;Mondi;Manufacturing;
NG.;National Grid plc;Energy;
NXT;Next plc;Retail clothing;
OML;Old Mutual;Insurance;
PSON;Pearson PLC;Education;
PSN;Persimmon plc;Building;
PFG;Provident Financial;Finance;
PRU;Prudential plc;Finance;
RRS;Randgold Resources;Mining;
RB.;Reckitt Benckiser;Consumer goods;
REL;RELX Group;Publishing;
REX;Rexam;Packaging;
RIO;Rio Tinto Group;Mining;
RR.;Rolls-Royce Holdings;Manufacturing;
RBS;Royal Bank of Scotland Group;Banking;
RDSA;Royal Dutch Shell;Oil and gas;
RMG;Royal Mail;Delivery;
RSA;RSA Insurance Group;Insurance;
SAB;SABMiller;Beverages;
SGE;Sage Group;IT;
SBRY;Sainsbury's;Supermarket;
SDR;Schroders;Fund management;
SVT;Severn Trent;Water;
SHP;Shire plc;Pharmaceuticals;
SKY;Sky plc;Media;
SN.;Smith & Nephew;Medical;
SMIN;Smiths Group;Engineering;
SPD;Sports Direct;Retail;
SSE;SSE plc;Energy;
STAN;Standard Chartered;Banking;
SL.;Standard Life;Fund management;
STJ;St. James's Place plc;Finance;
TW.;Taylor Wimpey;Building;
TSCO;Tesco;Supermarket;
TPK;Travis Perkins;Retailer;
TUI;TUI Group;Leisure;
ULVR;Unilever;Consumer goods;
UU.;United Utilities;Water;
VOD;Vodafone Group;Telecomms;
WTB;Whitbread;Retail hospitality;
WOS;Wolseley plc;Building materials;
WPG;Worldpay;Payment services;
WPP;WPP plc;Media;
